comment,product,clean_comment
"Produk bagus banget, sesuai deskripsi!",Produk A,produk bagus banget sesuai deskripsi
"Pengiriman cepat, kualitas oke",Produk A,pengiriman cepat kualitas oke
"Barang rusak pas datang, kecewa",Produk A,barang rusak pas kecewa
Harga murah tapi kualitas lumayan,Produk A,harga murah kualitas lumayan
Packing rapi dan penjual ramah,Produk A,packing rapi penjual ramah
"Produk bagus banget, sesuai deskripsi!",Produk B,produk bagus banget sesuai deskripsi
"Pengiriman cepat, kualitas oke",Produk B,pengiriman cepat kualitas oke
"Barang rusak pas datang, kecewa",Produk B,barang rusak pas kecewa
Harga murah tapi kualitas lumayan,Produk B,harga murah kualitas lumayan
Packing rapi dan penjual ramah,Produk B,packing rapi penjual ramah
